,Stock,Entry Datetime,Exit Datetime,Direction,Gross Profit/Loss,Commission,Net Profit/Loss
0,EVN,2020-12-16 10:02:00,2021-01-15 15:22:00,Long,-312.5,20.98484589041096,-333.48484589041095
1,IVR,2020-12-18 12:12:00,2021-01-11 10:04:00,Long,847.0,8.812808219178082,838.1871917808219
2,LCL,2020-12-16 10:10:00,2020-12-18 14:25:00,Long,-140.0,3.19027397260274,-143.19027397260274
3,SAR,2020-12-16 11:16:00,2021-01-11 16:10:00,Long,377.0,19.427075342465756,357.57292465753426
