Date(UTC),Market,Type,Price,Amount,Total,Fee,Fee Coin
2021-02-08 08:32:52,REEFUSDT,BUY,0.029473,3242,95.55146600,3.242,REEF
2021-02-08 08:32:52,REEFUSDT,BUY,0.029472,5327,156.99734400,5.327,REEF
2021-02-08 08:32:52,REEFUSDT,BUY,0.029471,3640,107.27444000,0.00112401,BNB
2021-02-08 08:32:52,1INCHUSDT,BUY,5.054,71.27,360.19858000,0.07127,1INCH
2021-02-08 08:32:52,SUSHIUPUSDT,BUY,75.113,0.85,63.84605000,0.00065481,BNB
2021-02-08 08:32:52,SUSHIUPUSDT,BUY,75.109,3.94,295.92946000,0.00303527,BNB
2021-02-08 08:32:51,AAVEUPUSDT,BUY,299.919,0.59,176.95221000,0.00181244,BNB
2021-02-08 08:32:51,AAVEUPUSDT,BUY,299,0.08,23.92000000,0.00024575,BNB
2021-02-08 08:32:51,AAVEUPUSDT,BUY,298.813,0.09,26.89317000,0.00027647,BNB
2021-02-08 08:32:51,AAVEUPUSDT,BUY,298.629,0.37,110.49273000,0.00113661,BNB
2021-02-08 08:32:51,AAVEUPUSDT,BUY,298.611,0.07,20.90277000,0.00021503,BNB
2021-02-08 08:32:51,INJUSDT,BUY,12.5717,28.72,361.05922400,0.00371934,BNB
2021-02-08 08:32:51,ALPHAUSDT,BUY,2.42971,148.2,360.08302200,0.00378103,BNB
2021-02-08 08:32:50,COCOSUSDT,BUY,0.57,347.89,198.29730000,0.00204733,BNB
2021-02-08 08:32:50,COCOSUSDT,BUY,0.5699,10.58,6.02954200,0.00006225,BNB
2021-02-08 08:32:50,COCOSUSDT,BUY,0.5699,28.11,16.01988900,0.00016542,BNB
2021-02-08 08:32:50,COCOSUSDT,BUY,0.5699,28.11,16.01988900,0.00016542,BNB
2021-02-08 08:32:50,COCOSUSDT,BUY,0.5699,28.11,16.01988900,0.00016542,BNB
2021-02-08 08:32:50,FUNUSDT,BUY,0.040169,7168,287.93139200,0.00297163,BNB
2021-02-08 08:32:50,COCOSUSDT,BUY,0.5699,28.11,16.01988900,0.00016542,BNB
2021-02-08 08:32:50,FUNUSDT,BUY,0.040168,149,5.98503200,0.00006177,BNB
2021-02-08 08:32:50,DOTUPUSDT,BUY,64.129,2.82,180.84378000,0.00188291,BNB
2021-02-08 08:32:50,COCOSUSDT,BUY,0.5699,28.11,16.01988900,0.00016542,BNB
2021-02-08 08:32:50,FUNUSDT,BUY,0.040168,399,16.02703200,0.00016541,BNB
2021-02-08 08:32:50,DOTUPUSDT,BUY,64.128,2,128.25600000,0.00133539,BNB
2021-02-08 08:32:50,FUNUSDT,BUY,0.040168,399,16.02703200,0.00016541,BNB
2021-02-08 08:32:50,COCOSUSDT,BUY,0.5699,28.11,16.01988900,0.00016542,BNB
2021-02-08 08:32:50,DOTUPUSDT,BUY,64.128,0.8,51.30240000,0.00053415,BNB
2021-02-08 08:32:50,FUNUSDT,BUY,0.040168,399,16.02703200,0.00016541,BNB
2021-02-08 08:32:50,COCOSUSDT,BUY,0.5699,28.11,16.01988900,0.00016542,BNB
2021-02-08 08:32:50,SUSHIUSDT,BUY,14.008,18.316,256.57052800,0.00264845,BNB
2021-02-08 08:32:50,FUNUSDT,BUY,0.040168,399,16.02703200,0.00016541,BNB
2021-02-08 08:32:50,COCOSUSDT,BUY,0.5699,28.11,16.01988900,0.00016542,BNB
2021-02-08 08:32:50,EGLDUSDT,BUY,149.797,2.404,360.11198800,0.00369876,BNB
2021-02-08 08:32:50,SUSHIUSDT,BUY,14.006,7.419,103.91051400,0.00107277,BNB
2021-02-08 08:32:50,FUNUSDT,BUY,0.040168,53,2.12890400,0.00002196,BNB
2021-02-08 08:32:50,COCOSUSDT,BUY,0.5699,28.11,16.01988900,0.00016542,BNB
2021-02-08 08:32:50,COCOSUSDT,BUY,0.5698,20.63,11.75497400,0.0001214,BNB
2021-02-08 08:32:50,DOGEUSDT,BUY,0.0708637,5082,360.12932340,0.00369608,BNB
2021-02-08 08:29:46,INJUSDT,SELL,12.5003,28.36,354.50850800,0.35450851,USDT
2021-02-08 08:29:46,AAVEUSDT,SELL,505.747,1.185,599.31019500,0.5993102,USDT
2021-02-08 08:29:46,INJUSDT,SELL,12.5004,4.46,55.75178400,0.05575178,USDT
2021-02-08 08:29:46,AAVEUSDT,SELL,505.855,0.03,15.17565000,0.00015705,BNB
2021-02-08 08:29:46,ALPHAUSDT,SELL,2.4541,362.4,889.36584000,0.88936584,USDT
2021-02-08 08:29:46,LTCUPUSDT,SELL,25.535,2.08,53.11280000,0.0531128,USDT
2021-02-08 08:29:46,LTCUPUSDT,SELL,25.536,1.78,45.45408000,0.04545408,USDT
2021-02-08 08:29:46,SUSHIUSDT,SELL,13.93,33.777,470.51361000,0.47051361,USDT
2021-02-08 08:29:45,EGLDUSDT,SELL,148.508,3.875,575.46850000,0.5754685,USDT
2021-02-08 08:29:45,ETHUPUSDT,SELL,143.849,1.59,228.71991000,0.22871991,USDT
2021-02-08 08:29:45,BTCUPUSDT,SELL,96.343,0.89,85.74527000,0.08574527,USDT
2021-02-08 08:29:45,BTCUPUSDT,SELL,96.344,0.67,64.55048000,0.06455048,USDT
2021-02-08 08:29:45,TFUELUSDT,SELL,0.038701,5980,231.43198000,0.23143198,USDT
2021-02-08 08:29:44,DCRUSDT,SELL,84.296,1.663,140.18424800,0.14018425,USDT
2021-02-08 08:29:44,DCRUSDT,SELL,84.297,0.947,79.82925900,0.07982926,USDT
2021-02-08 08:29:44,ZILUSDT,SELL,0.07935,1636.4,129.84834000,0.12984834,USDT
2021-02-08 08:29:44,ZILUSDT,SELL,0.07937,500,39.68500000,0.0004107,BNB
2021-02-08 08:29:44,CVCUSDT,SELL,0.23645,1131.2,267.47224000,0.26747224,USDT
