Date(UTC),Market,Type,Price,Amount,Total,Fee,Fee Coin
2020-12-14 09:37:10,XLMUSDT,BUY,0.17146,361.6,61.99993600,0.3616,XLM
2020-12-14 09:36:57,XRPUSDT,BUY,0.50064,123.8,61.97923200,0.1238,XRP
2020-12-14 09:36:44,DCRUSDT,BUY,26.747,1.119,29.92989300,0.001119,DCR
2020-12-14 09:36:44,DCRUSDT,BUY,26.746,1.199,32.06845400,0.001199,DCR
2020-12-14 09:36:36,ROSEUSDT,BUY,0.05414,1145.1,61.99571400,1.1451,ROSE
2020-12-14 09:36:28,WAVESUSDT,BUY,8.7664,3.31,29.01678400,0.00331,WAVES
2020-12-14 09:36:28,WAVESUSDT,BUY,8.763,3.76,32.94888000,0.00376,WAVES
2020-12-14 09:36:18,AAVEUSDT,BUY,82.04,0.755,61.94020000,0.000755,AAVE
2020-12-14 09:36:04,INJUSDT,BUY,2.5124,21.18,53.21263200,0.02118,INJ
2020-12-14 09:36:04,INJUSDT,BUY,2.5124,3.49,8.76827600,0.00349,INJ
2020-12-14 09:35:49,CVCUSDT,BUY,0.09619,250.7,24.11483300,0.2507,CVC
2020-12-14 09:35:49,CVCUSDT,BUY,0.09618,393.8,37.87568400,0.3938,CVC
2020-12-14 09:35:34,XEMUSDT,BUY,0.2426,44.87,10.88546200,0.04487,XEM
2020-12-14 09:35:34,XEMUSDT,BUY,0.2425,85.28,20.68040000,0.08528,XEM
2020-12-14 09:35:34,XEMUSDT,BUY,0.2424,76.88,18.63571200,0.07688,XEM
2020-12-14 09:35:34,XEMUSDT,BUY,0.2423,48.69,11.79758700,0.04869,XEM
2020-12-14 09:35:20,AXSUSDT,BUY,0.60343,102.7,61.97226100,0.1027,AXS
2020-12-14 09:35:07,ALPHAUSDT,BUY,0.20345,6.4,1.30208000,0.0064,ALPHA
2020-12-14 09:35:07,ALPHAUSDT,BUY,0.20308,298.8,60.68030400,0.2988,ALPHA
2020-12-14 09:34:45,UNFIUSDT,BUY,12.9305,4.79,61.93709500,0.00479,UNFI
